晶片號碼,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,是否有附圖片
900219001310561,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,"是否有附圖片
是"
900073000772816,是,是,否,是,是,請補充更詳細的特徵描述與個性特徵,是
900073000772055,是,是,否,是,是,請補充更詳細的特徵描述與個性特徵,是
900073000573057,是,否,否,是,否,請補充毛色、更詳細的特徵描述與個性特徵,是
900073000690430,是,是,否,是,否,請補充更詳細的特徵描述與個性特徵,是
900073000825046,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000493466,是,是,否,是,是,請補充更詳細的特徵描述與個性特徵,是
900073000418021,是,是,否,是,是,請補充更詳細的特徵描述與個性特徵,是
900073000061752,是,是,否,是,是,請補充更詳細的特徵描述與個性特徵,是
900138001367263,否,是,否,是,否,請補充更具體的遺失地點與更詳細的特徵描述與個性特徵,是
990000002715287,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900073000040050,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵與個性特徵,是
992001000226672,否,是,否,是,否,請補充更具體的遺失地點與更詳細的特徵描述與個性特徵,是
900073000064804,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵與個性特徵,是
900073000389772,是,是,是,是,是,無,是
990000000090461,是,是,是,是,是,無,是
900138000491433,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵與個性特徵,是
992007300181500,是,是,是,是,是,請補充個性特徵,是
900073000880603,是,是,否,是,是,請補充外觀、更詳細的特徵描述與個性特徵,是
900138001328278,否,是,是,是,是,請補充個性特徵,是
900215000205311,是,是,是,是,是,請補充個性特徵與是否有項圈,是
900215002881730,是,是,是,是,是,無,是
992007300015619,是,是,是,是,是,請補充個性特徵與晶片號碼,是
151402623A,否,是,是,是,是,請確認遺失時間是否正確,是
900108001453749,否,是,否,是,是,請補充更具體的遺失地點與更詳細的特徵描述與個性特徵,是
900108001453745,是,是,否,是,是,請補充個性特徵,是
900108001453670,是,是,是,是,是,無,是
